"id_claim_number","id_case_number","date_created","sku","name","user_description","value","value_selected"
1790,2868,2023-10-06 09:40:35.095,50000615,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
1790,2868,2023-10-06 09:40:35.095,50000615,Calidad,Cantidad reportada problemas de calidad,"22",
1790,2868,2023-10-06 09:40:35.095,50000615,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
1790,2868,2023-10-06 09:40:35.095,50000615,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,"30.65",
2211,3240,2024-04-05 07:34:23.742,50000853,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
1801,2875,2023-10-19 12:00:55.143,50000086,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
1801,2875,2023-10-19 12:00:55.143,50000086,Calidad,Cantidad reportada problemas de calidad,"1",
1801,2875,2023-10-19 12:00:55.143,50000086,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
1801,2875,2023-10-19 12:00:55.143,50000086,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,"2.00",
1802,2876,2023-10-19 16:33:27.839,50000647,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
1802,2876,2023-10-19 16:33:27.839,50000647,Calidad,Cantidad reportada problemas de calidad,"2",
1802,2876,2023-10-19 16:33:27.839,50000647,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
1804,2878,2023-10-24 15:01:48.867,50000532,Calidad,Seleccion de tipo problema de calidad,damaged,Dañado
1804,2878,2023-10-24 15:01:48.867,50000532,Calidad,Cantidad reportada problemas de calidad,"01",
1804,2879,2023-10-24 15:03:34.616,50000719,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
1804,2879,2023-10-24 15:03:34.616,50000719,Calidad,Cantidad reportada problemas de calidad,"02",
1807,2880,2023-10-26 11:19:19.782,50001583,Calidad,Seleccion de tipo problema de calidad,damaged,Dañado
1807,2880,2023-10-26 11:19:19.782,50001583,Calidad,Cantidad reportada problemas de calidad,"3",
